generation,fitness,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
45,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
46,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
47,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
48,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,0.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
49,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
50,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
51,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
52,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
53,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,0.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
54,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.05,0.4,0.2,1.3,0.9,2.5,2.95,2.30
55,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
56,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.05,0.4,0.2,1.3,0.9,2.5,2.95,2.30
57,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
58,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,0.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
59,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
60,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
61,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
62,40968.0,1.65,0.0,2.90,2.2,0.75,0.2,2.65,2.65,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
63,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
64,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
65,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
66,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
67,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
68,40968.0,1.65,0.0,1.1,2.2,0.75,0.45,2.15,1.5,0.35,0.4,0.2,1.3,0.9,2.5,2.95,2.30
69,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
70,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,2.40,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
71,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
72,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
73,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
74,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
75,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
76,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
77,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
78,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
79,40968.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.4,0.2,1.3,0.9,2.5,2.95,2.30
80,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.45,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
81,41016.0,1.65,0.0,1.1,2.2,0.75,2.65,0.45,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
82,41016.0,1.65,0.0,1.1,2.2,0.75,0.2,0.35,1.5,1.8,0.60,0.2,1.3,0.9,2.5,2.95,2.30
