generation,fitness,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
1,355192.0,1.85,1.1,0.9,0.5,1.6,0.60,1.20,1.40,0.70,0.2,0.65,2.40,2.0,1.95,1.65,1.65
2,355736.0,0.45,2.75,2.1,1.55,2.65,0.55,0.45,1.15,0.75,0.95,0.4,1.20,0.5,2.80,1.70,1.55
3,356032.0,2.0,1.20,1.40,1.5,0.8,2.25,2.30,2.2,0.0,0.75,2.7,1.0,1.25,2.95,1.35,2.75
4,356360.0,1.3,1.85,2.1,1.55,2.65,0.55,0.45,1.15,0.75,0.95,0.4,1.20,0.5,2.80,1.70,1.8
5,356456.0,1.05,1.20,2.1,2.2,2.65,0.55,0.45,1.15,0.75,0.95,0.4,1.05,0.5,2.80,1.70,1.55
6,356744.0,2.55,0.0,2.95,0.70,2.0,0.35,0.05,2.45,0.9,0.95,0.5,2.2,1.05,2.75,1.70,1.95
7,356696.0,1.3,2.0,2.1,1.55,2.65,0.70,0.45,1.15,0.75,0.55,0.65,1.20,0.5,2.80,1.70,1.8
8,357560.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.25,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
9,357560.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.25,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
10,357560.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.25,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
11,357560.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.25,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
12,357656.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.2,0.1,1.05,0.4,1.0,0.5,2.80,1.70,1.8
13,357632.0,1.90,0.4,2.1,1.25,0.60,2.90,1.05,2.2,0.1,1.05,0.25,1.20,0.5,2.80,1.70,1.8
14,357560.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
15,357560.0,1.90,1.85,2.1,0.25,0.60,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
16,357656.0,1.90,1.85,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
17,357656.0,1.90,1.85,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
18,357656.0,1.90,1.85,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
19,357716.0,0.70,0.35,2.1,0.25,0.60,2.45,0.85,2.2,0.1,1.05,0.4,1.20,0.65,2.80,1.70,1.8
20,357716.0,0.70,0.35,2.1,0.25,0.60,2.45,0.85,2.2,0.1,1.05,0.4,1.20,0.65,2.80,1.70,1.8
21,357716.0,0.70,0.35,2.1,0.25,0.60,2.45,0.85,2.2,0.1,1.05,0.4,1.20,0.65,2.80,1.70,1.8
22,357752.0,1.90,0.55,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
23,357752.0,1.90,0.35,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
24,357848.0,1.90,0.0,2.15,0.1,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
25,357848.0,1.90,0.0,2.15,0.1,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
26,357848.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.4,1.20,0.5,2.80,1.70,1.8
27,357848.0,1.90,0.35,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.4,1.20,0.70,2.80,1.70,1.8
28,357896.0,1.90,0.55,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.1,1.20,0.5,2.80,1.70,1.8
29,357896.0,1.90,0.55,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.1,1.20,0.5,2.80,1.70,1.8
30,357896.0,1.90,0.55,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.1,1.20,0.5,2.80,1.70,1.8
31,357896.0,1.90,0.55,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.1,1.20,0.5,2.80,1.70,1.8
32,357896.0,1.90,0.55,2.1,0.25,0.95,2.90,1.05,2.2,0.1,1.05,0.1,1.20,0.5,2.80,1.70,1.8
33,357944.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.4,1.20,0.35,2.80,1.70,1.8
34,357944.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.4,1.20,0.35,2.80,1.70,1.8
35,357944.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.4,1.20,0.35,2.80,1.70,1.8
36,357944.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.4,1.20,0.35,2.80,1.70,1.8
37,357944.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.4,1.20,0.35,2.80,1.70,1.8
38,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
39,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
40,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
41,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
42,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
43,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
44,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
45,357992.0,1.90,0.0,0.85,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
46,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
47,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
48,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
49,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
50,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
51,358028.0,0.8,0.0,2.90,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
52,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
53,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
54,358028.0,0.8,0.0,2.90,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
55,358028.0,0.8,0.0,2.90,0.1,0.95,2.90,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
56,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
57,358028.0,0.8,0.0,2.90,0.1,0.95,0.30,2.30,2.2,0.1,1.05,0.1,1.20,0.35,2.80,1.70,1.8
58,358100.0,0.8,0.0,2.90,0.1,0.95,2.90,2.30,2.2,0.05,1.05,0.1,1.20,0.35,2.80,1.70,1.8
59,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
60,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
61,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
62,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
63,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
64,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
65,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
66,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
67,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
68,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
69,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
70,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
71,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
72,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
73,358436.0,0.8,0.0,2.90,0.1,0.95,2.90,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.70,1.8
74,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
75,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
76,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
77,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
78,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
79,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
80,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
81,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
82,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
83,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
84,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
85,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
86,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
87,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
88,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
89,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
90,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
91,358532.0,0.8,0.0,2.90,0.1,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
92,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
93,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
94,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
95,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
96,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
97,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
98,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
99,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
100,358628.0,0.8,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.1,0.45,0.1,1.20,0.35,2.80,1.45,1.8
