generation,fitness,tag,name,href,alt,type,aria-label,xpath.idxpath,location,dimension,visible_text,neighbour_text,attributes
23,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
24,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
25,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
26,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
27,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
28,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
29,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
30,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
31,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
32,358552.0,1.05,2.85,0.65,0.2,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
33,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
34,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
35,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
36,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
37,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
38,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
39,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
40,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
41,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
42,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
43,358552.0,1.05,2.85,0.65,1.75,2.35,0.95,0.85,0.95,0.35,2.7,1.45,1.95
44,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
45,358552.0,1.05,2.85,0.65,0.2,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
46,358552.0,1.05,2.85,0.65,0.2,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
47,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
48,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
49,358552.0,1.05,2.85,0.65,0.2,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
50,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.55,0.95,0.35,2.7,1.45,1.95
51,358552.0,1.05,2.85,0.65,0.2,0.60,0.95,0.85,0.95,0.35,2.7,1.45,1.95
52,358552.0,1.05,2.85,0.65,0.2,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
53,358552.0,1.05,2.85,0.65,2.0,2.15,0.95,0.55,0.95,0.35,2.7,1.45,1.95
54,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
55,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
56,358552.0,1.05,2.85,0.65,1.75,1.55,0.95,0.85,0.95,0.35,2.7,1.45,1.95
57,358552.0,1.05,2.85,0.65,0.2,0.60,1.05,0.85,0.95,0.35,2.7,1.45,1.95
