score,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
353108.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
355508.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
352940.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
354908.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
352404.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
355100.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
352224.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
355004.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
353852.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
355124.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
353516.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
354876.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
353436.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
354996.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
353100.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
354428.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
352436.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
354548.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
352100.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
354332.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
352020.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
354524.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
351672.0,0.0,0.0,2.85,0.5,0.95,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
353580.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,3
352236.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,4
353700.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,4
352068.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,5
353620.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,4
351988.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,5
353740.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,5
351820.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,6
353076.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
350892.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
353196.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
350724.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
352812.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
350364.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
353004.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
350184.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.9,0.0,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
352884.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.35,2.8,1.45,1.8,4
352020.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.1,1.2,0.0,2.8,1.45,1.8,5
353004.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.35,2.8,1.45,1.8,5
351684.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.45,0.0,1.2,0.0,2.8,1.45,1.8,6
352540.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.35,2.8,1.45,1.8,5
351196.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.1,1.2,0.0,2.8,1.45,1.8,6
352660.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.35,2.8,1.45,1.8,6
350860.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.1,0.0,0.0,1.2,0.0,2.8,1.45,1.8,7
352380.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.35,2.8,1.45,1.8,5
350676.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.1,1.2,0.0,2.8,1.45,1.8,6
352500.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.35,2.8,1.45,1.8,6
350340.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.45,0.0,1.2,0.0,2.8,1.45,1.8,7
351732.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.35,2.8,1.45,1.8,6
349588.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.1,1.2,0.0,2.8,1.45,1.8,7
351924.0,0.0,0.0,2.85,0.5,0.0,1.85,2.75,0.0,0.0,0.0,0.0,1.2,0.35,2.8,1.45,1.8,7
