name,id,href,score
0.0,0.0,0.0,348384.0
0.0,0.0,0.2,351856.0
0.0,0.0,0.4,353120.0
0.0,0.0,0.6,353600.0
0.0,0.0,0.8,353792.0
0.0,0.0,1.0,353888.0
0.0,0.0,1.2,354752.0
0.0,0.0,1.4,354848.0
0.0,0.0,1.6,354656.0
0.0,0.0,1.8,354848.0
0.0,0.0,2.0,354656.0
0.0,0.0,2.2,354464.0
0.0,0.0,2.4,354368.0
0.0,0.0,2.6,354224.0
0.0,0.0,2.8,354224.0
0.0,0.0,3.0,354128.0
0.0,0.2,0.0,348640.0
0.0,0.2,0.2,352048.0
0.0,0.2,0.4,353264.0
0.0,0.2,0.6,353744.0
0.0,0.2,0.8,353936.0
0.0,0.2,1.0,353984.0
0.0,0.2,1.2,354464.0
0.0,0.2,1.4,354944.0
0.0,0.2,1.6,354752.0
0.0,0.2,1.8,354656.0
0.0,0.2,2.0,354752.0
0.0,0.2,2.2,354560.0
0.0,0.2,2.4,354464.0
0.0,0.2,2.6,354320.0
0.0,0.2,2.8,354320.0
0.0,0.2,3.0,354224.0
0.0,0.4,0.0,348640.0
0.0,0.4,0.2,352048.0
0.0,0.4,0.4,353264.0
0.0,0.4,0.6,353744.0
0.0,0.4,0.8,353936.0
0.0,0.4,1.0,354032.0
0.0,0.4,1.2,354464.0
0.0,0.4,1.4,354560.0
0.0,0.4,1.6,354752.0
0.0,0.4,1.8,354656.0
0.0,0.4,2.0,354464.0
0.0,0.4,2.2,354560.0
0.0,0.4,2.4,354464.0
0.0,0.4,2.6,354320.0
0.0,0.4,2.8,354320.0
0.0,0.4,3.0,354224.0
0.0,0.6,0.0,348832.0
0.0,0.6,0.2,352256.0
0.0,0.6,0.4,353456.0
0.0,0.6,0.6,353936.0
0.0,0.6,0.8,354128.0
0.0,0.6,1.0,354224.0
0.0,0.6,1.2,354704.0
0.0,0.6,1.4,354752.0
0.0,0.6,1.6,354464.0
0.0,0.6,1.8,354752.0
0.0,0.6,2.0,354560.0
0.0,0.6,2.2,354368.0
0.0,0.6,2.4,354560.0
0.0,0.6,2.6,354416.0
0.0,0.6,2.8,354416.0
0.0,0.6,3.0,354320.0
0.0,0.8,0.0,348928.0
0.0,0.8,0.2,352304.0
0.0,0.8,0.4,353504.0
0.0,0.8,0.6,353984.0
0.0,0.8,0.8,354176.0
0.0,0.8,1.0,354272.0
0.0,0.8,1.2,354752.0
0.0,0.8,1.4,354848.0
0.0,0.8,1.6,354608.0
0.0,0.8,1.8,354416.0
0.0,0.8,2.0,354608.0
0.0,0.8,2.2,354416.0
0.0,0.8,2.4,354320.0
0.0,0.8,2.6,354464.0
0.0,0.8,2.8,354464.0
0.0,0.8,3.0,354368.0
0.0,1.0,0.0,348928.0
0.0,1.0,0.2,352304.0
0.0,1.0,0.4,353504.0
0.0,1.0,0.6,353984.0
0.0,1.0,0.8,354176.0
0.0,1.0,1.0,354272.0
0.0,1.0,1.2,354752.0
0.0,1.0,1.4,354848.0
0.0,1.0,1.6,354656.0
0.0,1.0,1.8,354512.0
