property,algo,score,tag,className,name,id,href,alt,xpath.chrome,xpath.idxpath,location,dimension,visible_text,neighbour_text,type,aria-label,attributes
visible_text,levenshtein (option),355136.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceLinear,355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,equal (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),354152.0,equal,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,perimeter,354248.0,equal,equal (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),354248.0,equal,equal (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),354920.0,equal,equal (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),354920.0,equal,equal (option),levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),355304.0,equal,equal (option),levenshtein (option),equal (option),equal (option),equal (option),levenshtein,levenshtein,distanceLinear,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,levenshtein,355304.0,equal,equal (option),levenshtein (option),levenshtein (option),equal (option),equal (option),levenshtein,levenshtein,distanceLinear,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceMediumDecay,355352.0,equal,equal (option),levenshtein (option),levenshtein (option),equal (option),equal (option),levenshtein,levenshtein,distanceLinear,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,355352.0,equal,equal (option),levenshtein (option),levenshtein (option),equal (option),equal (option),levenshtein,levenshtein,distanceMediumDecay,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,levenshtein,355640.0,equal,equal (option),levenshtein (option),levenshtein (option),equal (option),equal (option),levenshtein,levenshtein,distanceMediumDecay,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),355640.0,levenshtein,equal (option),levenshtein (option),levenshtein (option),equal (option),equal (option),levenshtein,levenshtein,distanceMediumDecay,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,levenshtein,355640.0,levenshtein,equal (option),levenshtein (option),levenshtein (option),equal (option),equal (option),levenshtein,levenshtein,distanceMediumDecay,perimeter,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),354824.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),354824.0,equal,levenshtein (option),equal (option),equal (option),equal (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),354824.0,equal,levenshtein (option),equal (option),equal (option),equal (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,354896.0,equal,levenshtein (option),equal (option),equal (option),equal (option),equal (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),354896.0,equal,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),355184.0,equal,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,levenshtein,355400.0,equal,levenshtein (option),equal (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,jaroWinkler (option),355568.0,levenshtein,levenshtein (option),equal (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),355664.0,levenshtein,jaroWinkler (option),equal (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),355664.0,levenshtein,jaroWinkler (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,355664.0,levenshtein,jaroWinkler (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,355664.0,levenshtein,jaroWinkler (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),355664.0,levenshtein,jaroWinkler (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,levenshtein,355664.0,levenshtein,jaroWinkler (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceSmallDecay,355760.0,levenshtein,jaroWinkler (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,jaccard,354536.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),354632.0,jaccard,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),354632.0,jaccard,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,354632.0,jaccard,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),354632.0,jaccard,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),354824.0,jaccard,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,354824.0,jaccard,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,jaccard,355016.0,jaccard,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,355016.0,jaccard,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),355016.0,jaccard,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,jaccard (option),355136.0,jaccard,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceLinear,355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),355520.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,jaccard,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,equal (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,jaccard,354536.0,equal,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),354536.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,jaccard,354632.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,jaroWinkler,354728.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),jaccard,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),354728.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),354728.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),354728.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),levenshtein (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceLinear,354728.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),equal (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),354920.0,jaccard,equal (option),equal (option),equal (option),levenshtein (option),equal (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),355016.0,jaccard,equal (option),equal (option),levenshtein (option),levenshtein (option),equal (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),355592.0,jaccard,equal (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),jaccard,jaroWinkler,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceSmallDecay,354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,levenshtein,354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,levenshtein,354728.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),354824.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,354824.0,levenshtein,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),354824.0,levenshtein,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),355016.0,levenshtein,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,355016.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),355016.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),355016.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),355016.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,355016.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),355688.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,jaroWinkler (option),355760.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceSmallDecay,354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,levenshtein (option),354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,levenshtein,354728.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,levenshtein,354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),354824.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),355016.0,levenshtein,levenshtein (option),levenshtein (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),355016.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),355688.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
location,distanceSmallDecay,354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,levenshtein (option),354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
visible_text,levenshtein (option),354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),354344.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,levenshtein,354728.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,354728.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),levenshtein,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),355304.0,levenshtein,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,355304.0,levenshtein,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),355304.0,levenshtein,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,355304.0,levenshtein,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
neighbour_text,stringSet (option),355304.0,levenshtein,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),355400.0,levenshtein,levenshtein (option),equal (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),355688.0,levenshtein,levenshtein (option),levenshtein (option),equal (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,levenshtein,355688.0,levenshtein,levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal (option),equal,levenshtein,distanceSmallDecay,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
attributes,intersectValueCompare,354056.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
href,equal (option),354824.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.chrome,equal,354896.0,equal,levenshtein (option),equal (option),equal (option),equal (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),354992.0,equal,levenshtein (option),equal (option),equal (option),equal (option),levenshtein (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
