property,algo,score,tag,className,name,id,href,alt,xpath.chrome,xpath.idxpath,location,dimension,visible_text,neighbour_text,type,aria-label,attributes
xpath.chrome,equal,354128.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),levenshtein,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
alt,equal (option),354128.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),levenshtein (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
id,levenshtein (option),354416.0,equal,levenshtein (option),equal (option),equal (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
className,jaccard (option),354608.0,equal,levenshtein (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
type,equal (option),354608.0,equal,jaccard (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
name,levenshtein (option),354704.0,equal,jaccard (option),equal (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
dimension,area,354704.0,equal,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
tag,jaccard,355088.0,equal,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
aria-label,levenshtein (option),355088.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
xpath.idxpath,jaccard,355136.0,jaccard,jaccard (option),levenshtein (option),levenshtein (option),levenshtein (option),equal (option),equal,levenshtein,distanceLinear,area,levenshtein (option),stringSet (option),equal (option),levenshtein (option),intersectValueCompare
